    ---------------------------------------------------------------------------,,,,,,
,,,,,,
    * Data units = mm                            ,,,,,,
    * TOP/BOTTOM,REFDES,PCB_x,PCB_y,ROTATION,VALUE,FOOTPRINT
   SMD_TOP,ANT1,28.5,36,0,ANTENNA,ANTENNA868_915MHZ
   SMD_TOP,C10,24.875,13.875,180,DNI,CC1608
   SMD_TOP,C11,21.75,29,90,100pF,CC1005
   SMD_TOP,C13,22.75,29,90,3.6pF,CC1005
   SMD_TOP,C14,30.75,30.75,0,100pF,CC1005
   SMD_TOP,C15,24.25,27.5,0,3.6pF,CC1005
   SMD_TOP,C16,23.25,31.25,270,2.7pF,CC1005
   SMD_TOP,C17,26.25,30.25,90,6.2pF,CC1005
   SMD_TOP,C18,19.25,32.25,270,12pF,CC1005
   SMD_TOP,C19,19.25,30.25,90,12pF,CC1005
   SMD_TOP,C2,16.125,19.25,90,100nF,CC1005
   SMD_TOP,C21,16.375,16.375,270,1uF,CC1608
   SMD_TOP,C22,31.25,22.25,180,DNI,CC1005
   SMD_TOP,C23,30.125,27.5,180,DNI,CC1005
   SMD_TOP,C24,17.5,10.5,90,100nF,CC1005
   SMD_TOP,C25,13.375,26,180,100nF,CC1005
   SMD_TOP,C26,14.5,27.75,180,100nF,CC1005
   SMD_TOP,C27,14.5,28.75,180,100nF,CC1005
   SMD_TOP,C28,8.75,26.625,90,10uF,CC1608
   SMD_TOP,C29,50.5,14.25,0,47nF,CC2012
   SMD_TOP,C3,23.5,16.375,90,100nF,CC1005
   SMD_TOP,C31,40.125,16,270,6.8uF,TC3216
   SMD_TOP,C32,47.25,20.25,90,200pF,CC1608
   SMD_TOP,C33,45,26.25,0,680pF,CC1608
   SMD_TOP,C34,37.25,19.75,90,1nF,CC1608
   SMD_TOP,C35,37,16.75,90,560pF,CC1608
   SMD_TOP,C36,40.375,19.25,180,100nF,CC1005
   SMD_TOP,C37,8.375,24.625,0,100nF,CC1005
   SMD_TOP,C38,42.5,4.5,90,100nF,CC1005
   SMD_TOP,C39,42.5,7,270,2.2uF,CC1608
   SMD_TOP,C4,26.625,22,180,100nF,CC1005
   SMD_TOP,C40,39,8.25,180,100nF,CC1005
   SMD_TOP,C41,24.5,12.5,180,100nF,CC1005
   SMD_TOP,C44,19,12,0,100nF,CC1005
   SMD_TOP,C45,47.625,7.75,0,100nF,CC1005
   SMD_TOP,C46,28.75,11,180,1uF,CC1608
   SMD_TOP,C5,24.625,16.125,90,22uF,CC1608
   SMD_TOP,C52,29.25,31.25,270,3.3pF,CC1005
   SMD_TOP,C53,31.75,32.75,180,1pF,CC1005
   SMD_TOP,C6,15.375,24.125,0,100nF,CC1005
   SMD_TOP,C7,26,26.125,180,100nF,CC1005
   SMD_TOP,C8,26,25.125,180,100nF,CC1005
   SMD_TOP,C9,26.5,23.5,180,22uF,CC1608
   SMD_TOP,D1,27,17.875,0,BL-HG036A-AV-TRB,BL-HG036A-AV
   SMD_TOP,D7,34.75,19.5,180,BAT54,BAT54
   SMD_TOP,D8,34.75,23.5,180,BAT54,BAT54
   SMD_TOP,D9,37,4.75,90,BL-HG036A-AV-TRB,BL-HG036A-AV
   SMD_TOP,FB10,45.75,3.75,0,BLM18HE152SN1,BEAD1608
   SMD_TOP,FB11,44.125,14.125,270,BLM18HE152SN1,BEAD1608
   SMD_TOP,FB12,44.125,17.125,90,BLM18HE152SN1,BEAD1608
   SMD_TOP,FB13,42,14.125,270,BLM18HE152SN1,BEAD1608
   SMD_TOP,FB14,42,17.125,90,BLM18HE152SN1,BEAD1608
   SMD_TOP,FB8,44.75,7.75,0,BLM18HE152SN1,BEAD1608
   SMD_TOP,L2,21.75,15.25,270,6.8uH,BEAD2012
   SMD_TOP,L3,22.25,27.5,180,7.5nH,BEAD1005
   SMD_TOP,L4,23.75,29,90,7.5nH,BEAD1005
   SMD_TOP,L5,24.75,30.75,0,6.8nH,BEAD1005
   SMD_TOP,L6,27.75,30.75,0,6.8nH,BEAD1005
   SMD_TOP,L7,31.75,33.75,0,12nH,BEAD1005
   SMD_TOP,L8,23.25,26.75,180,18nH,BEAD1005
   SMD_TOP,Q1,46.375,10.875,90,MMBT3904,SOT-23
   SMD_TOP,Q2,39.25,11.25,270,MMBT3904,SOT-23
   SMD_TOP,Q3,50.5,10.875,90,MMBT3906,SOT-23
   SMD_TOP,Q4,30,4.25,180,CSD16413Q5A,CSD16413Q5A
   SMD_TOP,Q5,23,4.25,0,CSD16413Q5A,CSD16413Q5A
   SMD_TOP,R12,9.5,28.75,180,1K,RC1005
   SMD_TOP,R13,9.5,29.75,0,1K/DNI,RC1005
   SMD_TOP,R14,42,11,90,47K,RC1608
   SMD_TOP,R15,43.5,11,90,200,RC1608
   SMD_TOP,R16,37.25,13.625,0,10K,RC1608
   SMD_TOP,R17,36.5,11.25,90,10K,RC1608
   SMD_TOP,R18,45.75,20.25,90,1M,RC1608
   SMD_TOP,R19,37.25,22.75,270,1M,RC1608
   SMD_TOP,R2,32.75,30.75,180,0,RC1005
   SMD_TOP,R20,47.25,23.25,270,10K,RC1608
   SMD_TOP,R21,45.75,23.25,90,10K,RC1608
   SMD_TOP,R22,47.25,26.25,270,100K,RC1608
   SMD_TOP,R23,38.25,16.75,90,510K,RC1608
   SMD_TOP,R24,45.75,17.125,90,10K,RC1608
   SMD_TOP,R25,47.125,17.125,90,10K,RC1608
   SMD_TOP,R26,7.875,15.75,90,1K,RC1005
   SMD_TOP,R27,9.25,15.75,90,1K,RC1005
   SMD_TOP,R28,10.5,15.75,90,1K,RC1005
   SMD_TOP,R29,28.875,13.625,180,330,RC1608
   SMD_TOP,R3,16.75,27,180,4.7K,RC1005
   SMD_TOP,R30,28.75,9.5,0,1K,RC1608
   SMD_TOP,R31,37,7.75,270,330,RC1608
   SMD_TOP,R36,31.875,13.625,180,0,RC1608
   SMD_TOP,R38,11.5,26,180,0,RC1005
   SMD_TOP,R39,11.75,30.75,270,0,RC1005
   SMD_TOP,R4,16.25,25.5,270,4.7K,RC1005
   SMD_TOP,R40,18.5,10.5,90,4.7K,RC1005
   SMD_TOP,R41,18.25,16.375,270,0,RC1608
   SMD_TOP,R44,32.25,31.25,270,0,RC1005
   SMD_TOP,R46,27,16.375,180,200K,RC1608
   SMD_TOP,R48,31,20.25,0,0,RC1608
   SMD_TOP,R49,27,19.25,0,0,RC1608
   SMD_TOP,R5,30.125,17.875,180,330,RC1608
   SMD_TOP,R50,30.125,15,180,4.7K,RC1608
   SMD_TOP,R51,30.125,16.375,0,4.7K,RC1608
   SMD_TOP,R7,21,10.5,90,4.7K,RC1005
   SMD_TOP,R8,19.5,10.5,90,4.7K,RC1005
   SMD_TOP,S1,16,3.5,90,KHS-42C,KHS-42C
   SMD_TOP,TP10,34.625,14.25,0,T__POINT__S,TP_SMD
   SMD_TOP,TP11,10.125,31.125,0,T__POINT__S,TP_SMD
   SMD_TOP,TP12,13.375,31.125,270,T__POINT__S,TP_SMD
   SMD_TOP,TP9,34.75,16.75,0,T__POINT__S,TP_SMD
   SMD_TOP,U1,20.75,22,270,CC1310F128RGZT,QFN48_7_0_5
   SMD_TOP,U2,12,28,90,LIS3MDL,LGA-12
   SMD_TOP,U4,41.5,22.75,90,TLV342IDR,SOP8_3_9_6_1_27
   SMD_TOP,U5,9.875,20.5,0,AT24HC02C-SSHM__,SOP8_3_9_6_1_27
   SMD_TOP,U6,39.75,5.5,180,TPS73533QDRBRQ1,QFN8_3_0_65
   SMD_TOP,U7,25,9.75,0,S-8200ABE-M6T1U,SOT23-6P
   SMD_TOP,U8,50.25,17.375,0,SN74LVC1G04,SOT23-5P_0_95P
   SMD_TOP,Y1,17.5,31.25,90,32.768KHz__XTAL/CM315D3279DZFT,CM315
   SMD_TOP,Y2,30.5,24.875,90,24__MHz__Crystal/S3225A__Crystal,S3225A
 DIP_TOP,H1,3,45,0,PCB_HOLE,PCB-HOLE
 DIP_TOP,H2,52,45,0,PCB_HOLE,PCB-HOLE
 DIP_TOP,H3,3,3,0,PCB_HOLE,PCB-HOLE
 DIP_TOP,H4,52,3,0,PCB_HOLE,PCB-HOLE
 DIP_TOP,J1,38.75,30.75,0,RF__SMA-R-PC/DNI,RF_SMA_R_PC
 DIP_TOP,J10,48.75,24,90,A2001-WR03,A2001-WR03
 DIP_TOP,J11,6.25,20.45,270,A2001-WR02,A2001-WR02
 DIP_TOP,J12,6.25,27.3,270,A2001-WR02,A2001-WR02
 DIP_TOP,J13,19.5,14.25,270,1__PIN__HDR,1PIN-HDR
 DIP_TOP,J14,14.75,14.875,0,1__PIN__HDR,1PIN-HDR
 DIP_TOP,J15,13.25,33.5,0,1__PIN__HDR,1PIN-HDR
 DIP_TOP,J16,10.5,33.5,0,1__PIN__HDR,1PIN-HDR
 DIP_TOP,J17,13.5,23.25,0,1__PIN__HDR,1PIN-HDR
 DIP_TOP,J18,13.625,21.125,0,1__PIN__HDR,1PIN-HDR
