    ---------------------------------------------------------------------------
                                                                           
    * Data units = mm                            
    * TOP/BOTTOM	REFDES	PCB_x	PCB_y	ROTATION	VALUE	FOOTPRINT
   SMD_TOP	ANT1	28.500000	36.000000	0.0	ANTENNA	ANTENNA868_915MHZ
   SMD_TOP	C10	24.875000	13.875000	180.0	DNI	CC1608
   SMD_TOP	C11	21.750000	29.000000	90.0	100pF	CC1005
   SMD_TOP	C13	22.750000	29.000000	90.0	3.6pF	CC1005
   SMD_TOP	C14	30.750000	30.750000	0.0	100pF	CC1005
   SMD_TOP	C15	24.250000	27.500000	0.0	3.6pF	CC1005
   SMD_TOP	C16	23.250000	31.250000	270.0	2.7pF	CC1005
   SMD_TOP	C17	26.250000	30.250000	90.0	6.2pF	CC1005
   SMD_TOP	C18	19.250000	32.250000	270.0	12pF	CC1005
   SMD_TOP	C19	19.250000	30.250000	90.0	12pF	CC1005
   SMD_TOP	C2	16.125000	19.250000	90.0	100nF	CC1005
   SMD_TOP	C21	16.375000	16.375000	270.0	1uF	CC1608
   SMD_TOP	C22	31.250000	22.250000	180.0	DNI	CC1005
   SMD_TOP	C23	30.125000	27.500000	180.0	DNI	CC1005
   SMD_TOP	C24	17.500000	10.500000	90.0	100nF	CC1005
   SMD_TOP	C25	13.375000	26.000000	180.0	100nF	CC1005
   SMD_TOP	C26	14.500000	27.750000	180.0	100nF	CC1005
   SMD_TOP	C27	14.500000	28.750000	180.0	100nF	CC1005
   SMD_TOP	C28	8.750000	26.625000	90.0	10uF	CC1608
   SMD_TOP	C29	50.500000	14.250000	0.0	47nF	CC2012
   SMD_TOP	C3	23.500000	16.375000	90.0	100nF	CC1005
   SMD_TOP	C31	40.125000	16.000000	270.0	6.8uF	TC3216
   SMD_TOP	C32	47.250000	20.250000	90.0	200pF	CC1608
   SMD_TOP	C33	45.000000	26.250000	0.0	680pF	CC1608
   SMD_TOP	C34	37.250000	19.750000	90.0	1nF	CC1608
   SMD_TOP	C35	37.000000	16.750000	90.0	560pF	CC1608
   SMD_TOP	C36	40.375000	19.250000	180.0	100nF	CC1005
   SMD_TOP	C37	8.375000	24.625000	0.0	100nF	CC1005
   SMD_TOP	C38	42.500000	4.500000	90.0	100nF	CC1005
   SMD_TOP	C39	42.500000	7.000000	270.0	2.2uF	CC1608
   SMD_TOP	C4	26.625000	22.000000	180.0	100nF	CC1005
   SMD_TOP	C40	39.000000	8.250000	180.0	100nF	CC1005
   SMD_TOP	C41	24.500000	12.500000	180.0	100nF	CC1005
   SMD_TOP	C44	19.000000	12.000000	0.0	100nF	CC1005
   SMD_TOP	C45	47.625000	7.750000	0.0	100nF	CC1005
   SMD_TOP	C46	28.750000	11.000000	180.0	1uF	CC1608
   SMD_TOP	C5	24.625000	16.125000	90.0	22uF	CC1608
   SMD_TOP	C52	29.250000	31.250000	270.0	3.3pF	CC1005
   SMD_TOP	C53	31.750000	32.750000	180.0	1pF	CC1005
   SMD_TOP	C6	15.375000	24.125000	0.0	100nF	CC1005
   SMD_TOP	C7	26.000000	26.125000	180.0	100nF	CC1005
   SMD_TOP	C8	26.000000	25.125000	180.0	100nF	CC1005
   SMD_TOP	C9	26.500000	23.500000	180.0	22uF	CC1608
   SMD_TOP	D1	27.000000	17.875000	0.0	BL-HG036A-AV-TRB	BL-HG036A-AV
   SMD_TOP	D7	34.750000	19.500000	180.0	BAT54	BAT54
   SMD_TOP	D8	34.750000	23.500000	180.0	BAT54	BAT54
   SMD_TOP	D9	37.000000	4.750000	90.0	BL-HG036A-AV-TRB	BL-HG036A-AV
   SMD_TOP	FB10	45.750000	3.750000	0.0	BLM18HE152SN1	BEAD1608
   SMD_TOP	FB11	44.125000	14.125000	270.0	BLM18HE152SN1	BEAD1608
   SMD_TOP	FB12	44.125000	17.125000	90.0	BLM18HE152SN1	BEAD1608
   SMD_TOP	FB13	42.000000	14.125000	270.0	BLM18HE152SN1	BEAD1608
